sample_id,is_correct,format_fail,num_steps,predicted_boundary_by_gap,predicted_boundary_by_gap_jump,predicted_boundary_by_kl,human_first_error_step,error_type,boundary_pattern,exact_match_gap,within_one_gap,exact_match_gap_jump,within_one_gap_jump,exact_match_kl,within_one_kl,max_gap,max_kl
gsm8k-test-0,True,False,7,3,2,4,,,,,,,,,,0.01239516053880964,0.10508034363151765
gsm8k-test-1,True,False,5,3,2,1,,,,,,,,,,0.0014122724533081055,0.7521217615890538
gsm8k-test-2,True,False,10,4,2,1,,,,,,,,,,0.05086238384246826,0.5330423928638178
gsm8k-test-3,True,False,8,4,3,2,,,,,,,,,,-0.002441232021038349,0.34049263134313423
gsm8k-test-4,False,False,4,4,2,1,,,,,,,,,,-0.004906604366917764,1.7538578232951887
gsm8k-test-5,True,False,15,11,2,1,,,,,,,,,,0.00932686858707004,3.041633156901138
gsm8k-test-6,True,False,8,8,2,1,,,,,,,,,,0.014137996567620171,0.2600175054097699
gsm8k-test-7,False,False,16,4,8,1,,,,,,,,,,0.011056054206121536,0.8588098162095973
gsm8k-test-8,True,False,16,8,14,4,,,,,,,,,,0.036716971397399906,0.221382025064567
gsm8k-test-9,True,False,11,2,2,1,,,,,,,,,,0.03850191831588745,2.1738750327338217
gsm8k-test-10,True,False,7,7,4,3,,,,,,,,,,0.026765036582946777,0.8982110127815226
gsm8k-test-11,True,False,12,10,3,2,,,,,,,,,,0.020333974257759426,0.4120129468334
gsm8k-test-12,False,False,8,6,2,5,,,,,,,,,,0.012925965030018876,0.5797508201648041
gsm8k-test-13,True,False,16,3,15,14,,,,,,,,,,0.019552388706722774,0.4511291529235457
gsm8k-test-14,False,False,6,1,3,2,,,,,,,,,,0.02795092761516571,0.1295714051225255
gsm8k-test-15,True,False,10,4,3,1,,,,,,,,,,0.014438810555831245,0.3113368613316228
gsm8k-test-16,True,False,9,7,2,3,,,,,,,,,,0.012475796540578206,1.05447049136071
gsm8k-test-17,True,False,8,4,4,1,,,,,,,,,,0.009045263131459555,0.28538585160599744
gsm8k-test-18,True,False,9,4,8,1,,,,,,,,,,0.12764712969462078,0.5795693326839849
gsm8k-test-19,True,False,11,7,3,4,,,,,,,,,,0.0287930965423584,0.8807318694064187
